Smoke check @ 2026-03-06T10:21:35
backend_health: 200 - http://127.0.0.1:9000/health
home: 200 - http://127.0.0.1:3002/
catalog: 200 - http://127.0.0.1:3002/catalog
catalog_page_2: 200 - http://127.0.0.1:3002/catalog?page=2
catalog_query_bmw: 200 - http://127.0.0.1:3002/catalog?q=bmw
search: 200 - http://127.0.0.1:3002/search
product_sample: 200 - http://127.0.0.1:3002/product/shorts
cart: 200 - http://127.0.0.1:3002/cart
checkout: 200 - http://127.0.0.1:3002/checkout
blog: 200 - http://127.0.0.1:3002/blog
account: 200 - http://127.0.0.1:3002/account
